id,location_name,location_area,location_state,location_art
1443,Amerdingen,Landkreis Donau-Ries,Bayern,de
1444,Asbach-Bäumenheim,Landkreis Donau-Ries,Bayern,de
1445,Auhausen,Landkreis Donau-Ries,Bayern,de
1446,Buchdorf,Landkreis Donau-Ries,Bayern,de
1447,Daiting,Landkreis Donau-Ries,Bayern,de
1448,Deiningen,Landkreis Donau-Ries,Bayern,de
1449,Donauwörth,Landkreis Donau-Ries,Bayern,de
1450,Ederheim,Landkreis Donau-Ries,Bayern,de
1451,Ehingen am Ries,Landkreis Donau-Ries,Bayern,de
1452,Forheim,Landkreis Donau-Ries,Bayern,de
1453,Fremdingen,Landkreis Donau-Ries,Bayern,de
1454,Fünfstetten,Landkreis Donau-Ries,Bayern,de
1455,Genderkingen,Landkreis Donau-Ries,Bayern,de
1456,Hainsfarth,Landkreis Donau-Ries,Bayern,de
1457,Harburg,Landkreis Donau-Ries,Bayern,de
1458,Hohenaltheim,Landkreis Donau-Ries,Bayern,de
1459,Holzheim,Landkreis Donau-Ries,Bayern,de
1460,Huisheim,Landkreis Donau-Ries,Bayern,de
1461,Kaisheim,Landkreis Donau-Ries,Bayern,de
1462,Maihingen,Landkreis Donau-Ries,Bayern,de
1463,Marktoffingen,Landkreis Donau-Ries,Bayern,de
1464,Marxheim,Landkreis Donau-Ries,Bayern,de
1465,Megesheim,Landkreis Donau-Ries,Bayern,de
1466,Mertingen,Landkreis Donau-Ries,Bayern,de
1467,Mönchsdeggingen,Landkreis Donau-Ries,Bayern,de
1468,Möttingen,Landkreis Donau-Ries,Bayern,de
1469,Monheim,Landkreis Donau-Ries,Bayern,de
1470,Münster,Landkreis Donau-Ries,Bayern,de
1471,Munningen,Landkreis Donau-Ries,Bayern,de
1472,Niederschönenfeld,Landkreis Donau-Ries,Bayern,de
1473,Nördlingen,Landkreis Donau-Ries,Bayern,de
1474,Oberndorf am Lech,Landkreis Donau-Ries,Bayern,de
1475,Oettingen in Bayern,Landkreis Donau-Ries,Bayern,de
1476,Otting,Landkreis Donau-Ries,Bayern,de
1477,Rain,Landkreis Donau-Ries,Bayern,de
1478,Reimlingen,Landkreis Donau-Ries,Bayern,de
1479,Rögling,Landkreis Donau-Ries,Bayern,de
1480,Tagmersheim,Landkreis Donau-Ries,Bayern,de
1481,Tapfheim,Landkreis Donau-Ries,Bayern,de
1482,Wallerstein,Landkreis Donau-Ries,Bayern,de
1483,Wechingen,Landkreis Donau-Ries,Bayern,de
1484,Wemding,Landkreis Donau-Ries,Bayern,de
1485,Wolferstadt,Landkreis Donau-Ries,Bayern,de
1486,Ammerthal,Landkreis Amberg-Sulzbach,Bayern,de
1487,Auerbach in der Oberpfalz,Landkreis Amberg-Sulzbach,Bayern,de
1488,Birgland,Landkreis Amberg-Sulzbach,Bayern,de
1489,Ebermannsdorf,Landkreis Amberg-Sulzbach,Bayern,de
1490,Edelsfeld,Landkreis Amberg-Sulzbach,Bayern,de
1491,Ensdorf,Landkreis Amberg-Sulzbach,Bayern,de
1492,Etzelwang,Landkreis Amberg-Sulzbach,Bayern,de
1493,Freihung,Landkreis Amberg-Sulzbach,Bayern,de
1494,Freudenberg,Landkreis Amberg-Sulzbach,Bayern,de
1495,Gebenbach,Landkreis Amberg-Sulzbach,Bayern,de
1496,Hahnbach,Landkreis Amberg-Sulzbach,Bayern,de
1497,Hirschau,Landkreis Amberg-Sulzbach,Bayern,de
1498,Hirschbach,Landkreis Amberg-Sulzbach,Bayern,de
1499,Hohenburg,Landkreis Amberg-Sulzbach,Bayern,de
1500,Illschwang,Landkreis Amberg-Sulzbach,Bayern,de
1501,Kastl,Landkreis Amberg-Sulzbach,Bayern,de
1502,Königstein,Landkreis Amberg-Sulzbach,Bayern,de
1503,Kümmersbruck,Landkreis Amberg-Sulzbach,Bayern,de
1504,Neukirchen bei Sulzbach-Rosenberg,Landkreis Amberg-Sulzbach,Bayern,de
1505,Poppenricht,Landkreis Amberg-Sulzbach,Bayern,de
1506,Rieden,Landkreis Amberg-Sulzbach,Bayern,de
1507,Schmidmühlen,Landkreis Amberg-Sulzbach,Bayern,de
1508,Schnaittenbach,Landkreis Amberg-Sulzbach,Bayern,de
1509,Sulzbach-Rosenberg,Landkreis Amberg-Sulzbach,Bayern,de
1510,Ursensollen,Landkreis Amberg-Sulzbach,Bayern,de
1511,Vilseck,Landkreis Amberg-Sulzbach,Bayern,de
1512,Weigendorf,Landkreis Amberg-Sulzbach,Bayern,de
1513,Aichen,Landkreis Günzburg,Bayern,de
1514,Aletshausen,Landkreis Günzburg,Bayern,de
1515,Balzhausen,Landkreis Günzburg,Bayern,de
1516,Bibertal,Landkreis Günzburg,Bayern,de
1517,Breitenthal,Landkreis Günzburg,Bayern,de
1518,Bubesheim,Landkreis Günzburg,Bayern,de
1519,Burgau,Landkreis Günzburg,Bayern,de
1520,Burtenbach,Landkreis Günzburg,Bayern,de
1521,Deisenhausen,Landkreis Günzburg,Bayern,de
1522,Dürrlauingen,Landkreis Günzburg,Bayern,de
1523,Ebershausen,Landkreis Günzburg,Bayern,de
1524,Ellzee,Landkreis Günzburg,Bayern,de
1525,Günzburg,Landkreis Günzburg,Bayern,de
1526,Gundremmingen,Landkreis Günzburg,Bayern,de
1527,Haldenwang,Landkreis Günzburg,Bayern,de
1528,Ichenhausen,Landkreis Günzburg,Bayern,de
1529,Jettingen-Scheppach,Landkreis Günzburg,Bayern,de
1530,Kammeltal,Landkreis Günzburg,Bayern,de
1531,Kötz,Landkreis Günzburg,Bayern,de
1532,Krumbach,Landkreis Günzburg,Bayern,de
1533,Landensberg,Landkreis Günzburg,Bayern,de
1534,Leipheim,Landkreis Günzburg,Bayern,de
1535,Münsterhausen,Landkreis Günzburg,Bayern,de
1536,Neuburg an der Kammel,Landkreis Günzburg,Bayern,de
1537,Offingen,Landkreis Günzburg,Bayern,de
1538,Rettenbach,Landkreis Günzburg,Bayern,de
1539,Röfingen,Landkreis Günzburg,Bayern,de
1540,Thannhausen,Landkreis Günzburg,Bayern,de
1541,Ursberg,Landkreis Günzburg,Bayern,de
1542,Waldstetten,Landkreis Günzburg,Bayern,de
1543,Waltenhausen,Landkreis Günzburg,Bayern,de
1544,Wiesenbach,Landkreis Günzburg,Bayern,de
1545,Winterbach,Landkreis Günzburg,Bayern,de
1546,Ziemetshausen,Landkreis Günzburg,Bayern,de
1547,Arnschwang,Landkreis Cham,Bayern,de
1548,Arrach,Landkreis Cham,Bayern,de
1549,Blaibach,Landkreis Cham,Bayern,de
1550,Cham,Landkreis Cham,Bayern,de
1551,Chamerau,Landkreis Cham,Bayern,de
1552,Eschlkam,Landkreis Cham,Bayern,de
1553,Falkenstein,Landkreis Cham,Bayern,de
1554,Furth im Wald,Landkreis Cham,Bayern,de
1555,Gleißenberg,Landkreis Cham,Bayern,de
1556,Grafenwiesen,Landkreis Cham,Bayern,de
1557,Hohenwarth,Landkreis Cham,Bayern,de
1558,Kötzting,Landkreis Cham,Bayern,de
1559,Lam,Landkreis Cham,Bayern,de
1560,Lohberg,Landkreis Cham,Bayern,de
1561,Michelsneukirchen,Landkreis Cham,Bayern,de
1562,Miltach,Landkreis Cham,Bayern,de
1563,Neukirchen beim Heiligen Blut,Landkreis Cham,Bayern,de
1564,Pemfling,Landkreis Cham,Bayern,de
1565,Pösing,Landkreis Cham,Bayern,de
1566,Reichenbach,Landkreis Cham,Bayern,de
1567,Rettenbach,Landkreis Cham,Bayern,de
1568,Rimbach,Landkreis Cham,Bayern,de
1569,Roding,Landkreis Cham,Bayern,de
1570,Rötz,Landkreis Cham,Bayern,de
1571,Runding,Landkreis Cham,Bayern,de
1572,Schönthal,Landkreis Cham,Bayern,de
1573,Schorndorf,Landkreis Cham,Bayern,de
1574,Stamsried,Landkreis Cham,Bayern,de
1575,Tiefenbach,Landkreis Cham,Bayern,de
1576,Traitsching,Landkreis Cham,Bayern,de
1577,Treffelstein,Landkreis Cham,Bayern,de
1578,Waffenbrunn,Landkreis Cham,Bayern,de
1579,Wald,Landkreis Cham,Bayern,de
1580,Walderbach,Landkreis Cham,Bayern,de
1581,Waldmünchen,Landkreis Cham,Bayern,de
1582,Weiding,Landkreis Cham,Bayern,de
1583,Willmering,Landkreis Cham,Bayern,de
1584,Zandt,Landkreis Cham,Bayern,de
1585,Zell,Landkreis Cham,Bayern,de
1586,Augsburg,Kreisfreie Stadt Augsburg,Bayern,de
1587,Amberg,Kreisfreie Stadt Amberg,Bayern,de
1588,Kaufbeuren,Kreisfreie Stadt Kaufbeuren,Bayern,de
1589,Kempten,Kreisfreie Stadt Kempten,Bayern,de
1590,Memmingen,Kreisfreie Stadt Memmingen,Bayern,de
1591,Bodolz,Landkreis Lindau (Bodensee),Bayern,de
1592,Gestratz,Landkreis Lindau (Bodensee),Bayern,de
1593,Grünenbach,Landkreis Lindau (Bodensee),Bayern,de
1594,Heimenkirch,Landkreis Lindau (Bodensee),Bayern,de
1595,Hergatz,Landkreis Lindau (Bodensee),Bayern,de
1596,Hergensweiler,Landkreis Lindau (Bodensee),Bayern,de
1597,Lindau (Bodensee),Landkreis Lindau (Bodensee),Bayern,de
1598,Lindenberg im Allgäu,Landkreis Lindau (Bodensee),Bayern,de
1599,Maierhöfen,Landkreis Lindau (Bodensee),Bayern,de
1600,Nonnenhorn,Landkreis Lindau (Bodensee),Bayern,de
1601,Oberreute,Landkreis Lindau (Bodensee),Bayern,de
1602,Opfenbach,Landkreis Lindau (Bodensee),Bayern,de
1603,Röthenbach (Allgäu),Landkreis Lindau (Bodensee),Bayern,de
1604,Scheidegg,Landkreis Lindau (Bodensee),Bayern,de
1605,Sigmarszell,Landkreis Lindau (Bodensee),Bayern,de
1606,Stiefenhofen,Landkreis Lindau (Bodensee),Bayern,de
1607,Wasserburg (Bodensee),Landkreis Lindau (Bodensee),Bayern,de
1608,Weiler-Simmerberg,Landkreis Lindau (Bodensee),Bayern,de
1609,Weißensberg,Landkreis Lindau (Bodensee),Bayern,de
1610,Aubstadt,Landkreis Rhön-Grabfeld,Bayern,de
1611,Bad Königshofen im Grabfeld,Landkreis Rhön-Grabfeld,Bayern,de
1612,Bad Neustadt an der Saale,Landkreis Rhön-Grabfeld,Bayern,de
1613,Bastheim,Landkreis Rhön-Grabfeld,Bayern,de
1614,Bischofsheim an der Rhön,Landkreis Rhön-Grabfeld,Bayern,de
1615,Burglauer,Landkreis Rhön-Grabfeld,Bayern,de
1616,Fladungen,Landkreis Rhön-Grabfeld,Bayern,de
1617,Großbardorf,Landkreis Rhön-Grabfeld,Bayern,de
1618,Großeibstadt,Landkreis Rhön-Grabfeld,Bayern,de
1619,Hausen,Landkreis Rhön-Grabfeld,Bayern,de
1620,Hendungen,Landkreis Rhön-Grabfeld,Bayern,de
1621,Herbstadt,Landkreis Rhön-Grabfeld,Bayern,de
1622,Heustreu,Landkreis Rhön-Grabfeld,Bayern,de
1623,Höchheim,Landkreis Rhön-Grabfeld,Bayern,de
1624,Hohenroth,Landkreis Rhön-Grabfeld,Bayern,de
1625,Hollstadt,Landkreis Rhön-Grabfeld,Bayern,de
1626,Mellrichstadt,Landkreis Rhön-Grabfeld,Bayern,de
1627,Niederlauer,Landkreis Rhön-Grabfeld,Bayern,de
1628,Nordheim vor der Rhön,Landkreis Rhön-Grabfeld,Bayern,de
1629,Oberelsbach,Landkreis Rhön-Grabfeld,Bayern,de
1630,Oberstreu,Landkreis Rhön-Grabfeld,Bayern,de
1631,Ostheim vor der Rhön,Landkreis Rhön-Grabfeld,Bayern,de
1632,Rödelmaier,Landkreis Rhön-Grabfeld,Bayern,de
1633,Saal an der Saale,Landkreis Rhön-Grabfeld,Bayern,de
1634,Salz,Landkreis Rhön-Grabfeld,Bayern,de
1635,Sandberg,Landkreis Rhön-Grabfeld,Bayern,de
1636,Schönau an der Brend,Landkreis Rhön-Grabfeld,Bayern,de
1637,Sondheim vor der Rhön,Landkreis Rhön-Grabfeld,Bayern,de
1638,Stockheim,Landkreis Rhön-Grabfeld,Bayern,de
1639,Strahlungen,Landkreis Rhön-Grabfeld,Bayern,de
1640,Sulzdorf an der Lederhecke,Landkreis Rhön-Grabfeld,Bayern,de
1641,Sulzfeld,Landkreis Rhön-Grabfeld,Bayern,de
1642,Trappstadt,Landkreis Rhön-Grabfeld,Bayern,de
1643,Unsleben,Landkreis Rhön-Grabfeld,Bayern,de
1644,Willmars,Landkreis Rhön-Grabfeld,Bayern,de
1645,Wollbach,Landkreis Rhön-Grabfeld,Bayern,de
1646,Wülfershausen an der Saale,Landkreis Rhön-Grabfeld,Bayern,de
1647,Altenstadt,Landkreis Neu-Ulm,Bayern,de
1648,Bellenberg,Landkreis Neu-Ulm,Bayern,de
1649,Buch,Landkreis Neu-Ulm,Bayern,de
1650,Elchingen,Landkreis Neu-Ulm,Bayern,de
1651,Holzheim,Landkreis Neu-Ulm,Bayern,de
1652,Illertissen,Landkreis Neu-Ulm,Bayern,de
1653,Kellmünz,Landkreis Neu-Ulm,Bayern,de
1654,Nersingen,Landkreis Neu-Ulm,Bayern,de
1655,Neu-Ulm,Landkreis Neu-Ulm,Bayern,de
1656,Oberroth,Landkreis Neu-Ulm,Bayern,de
1657,Osterberg,Landkreis Neu-Ulm,Bayern,de
1658,Pfaffenhofen an der Roth,Landkreis Neu-Ulm,Bayern,de
1659,Roggenburg,Landkreis Neu-Ulm,Bayern,de
1660,Senden,Landkreis Neu-Ulm,Bayern,de
1661,Unterroth,Landkreis Neu-Ulm,Bayern,de
1662,Vöhringen,Landkreis Neu-Ulm,Bayern,de
1663,Weißenhorn,Landkreis Neu-Ulm,Bayern,de
1664,Bergrheinfeld,Landkreis Schweinfurt,Bayern,de
1665,Dingolshausen,Landkreis Schweinfurt,Bayern,de
1666,Dittelbrunn,Landkreis Schweinfurt,Bayern,de
1667,Donnersdorf,Landkreis Schweinfurt,Bayern,de
1668,Euerbach,Landkreis Schweinfurt,Bayern,de
1669,Frankenwinheim,Landkreis Schweinfurt,Bayern,de
1670,Geldersheim,Landkreis Schweinfurt,Bayern,de
1671,Gerolzhofen,Landkreis Schweinfurt,Bayern,de
1672,Gochsheim,Landkreis Schweinfurt,Bayern,de
1673,Grafenrheinfeld,Landkreis Schweinfurt,Bayern,de
1674,Grettstadt,Landkreis Schweinfurt,Bayern,de
1675,Kolitzheim,Landkreis Schweinfurt,Bayern,de
1676,Lülsfeld,Landkreis Schweinfurt,Bayern,de
1677,Michelau im Steigerwald,Landkreis Schweinfurt,Bayern,de
1678,Niederwerrn,Landkreis Schweinfurt,Bayern,de
1679,Oberschwarzach,Landkreis Schweinfurt,Bayern,de
1680,Poppenhausen,Landkreis Schweinfurt,Bayern,de
1681,Röthlein,Landkreis Schweinfurt,Bayern,de
1682,Schonungen,Landkreis Schweinfurt,Bayern,de
1683,Schwanfeld,Landkreis Schweinfurt,Bayern,de
1684,Schwebheim,Landkreis Schweinfurt,Bayern,de
1685,Sennfeld,Landkreis Schweinfurt,Bayern,de
1686,Stadtlauringen,Landkreis Schweinfurt,Bayern,de
1687,Sulzheim,Landkreis Schweinfurt,Bayern,de
1688,Üchtelhausen,Landkreis Schweinfurt,Bayern,de
1689,Waigolshausen,Landkreis Schweinfurt,Bayern,de
1690,Wasserlosen,Landkreis Schweinfurt,Bayern,de
1691,Werneck,Landkreis Schweinfurt,Bayern,de
1692,Wipfeld,Landkreis Schweinfurt,Bayern,de
1693,Altusried,Landkreis Oberallgäu,Bayern,de
1694,Bad Hindelang,Landkreis Oberallgäu,Bayern,de
1695,Balderschwang,Landkreis Oberallgäu,Bayern,de
1696,Betzigau,Landkreis Oberallgäu,Bayern,de
1697,Blaichach,Landkreis Oberallgäu,Bayern,de
1698,Bolsterlang,Landkreis Oberallgäu,Bayern,de
1699,Buchenberg,Landkreis Oberallgäu,Bayern,de
1700,Burgberg im Allgäu,Landkreis Oberallgäu,Bayern,de
1701,Dietmannsried,Landkreis Oberallgäu,Bayern,de
1702,Durach,Landkreis Oberallgäu,Bayern,de
1703,Fischen im Allgäu,Landkreis Oberallgäu,Bayern,de
1704,Haldenwang,Landkreis Oberallgäu,Bayern,de
1705,Immenstadt im Allgäu,Landkreis Oberallgäu,Bayern,de
1706,Lauben,Landkreis Oberallgäu,Bayern,de
1707,Missen-Wilhams,Landkreis Oberallgäu,Bayern,de
1708,Obermaiselstein,Landkreis Oberallgäu,Bayern,de
1709,Oberstaufen,Landkreis Oberallgäu,Bayern,de
1710,Oberstdorf,Landkreis Oberallgäu,Bayern,de
1711,Ofterschwang,Landkreis Oberallgäu,Bayern,de
1712,Oy-Mittelberg,Landkreis Oberallgäu,Bayern,de
1713,Rettenberg,Landkreis Oberallgäu,Bayern,de
1714,Sonthofen,Landkreis Oberallgäu,Bayern,de
1715,Sulzberg,Landkreis Oberallgäu,Bayern,de
1716,Waltenhofen,Landkreis Oberallgäu,Bayern,de
1717,Weitnau,Landkreis Oberallgäu,Bayern,de
1718,Wertach,Landkreis Oberallgäu,Bayern,de
1719,Wiggensbach,Landkreis Oberallgäu,Bayern,de
1720,Wildpoldsried,Landkreis Oberallgäu,Bayern,de
1721,Altertheim,Landkreis Würzburg,Bayern,de
1722,Aub,Landkreis Würzburg,Bayern,de
1723,Bergtheim,Landkreis Würzburg,Bayern,de
1724,Bieberehren,Landkreis Würzburg,Bayern,de
1725,Bütthard,Landkreis Würzburg,Bayern,de
1726,Eibelstadt,Landkreis Würzburg,Bayern,de
1727,Eisenheim,Landkreis Würzburg,Bayern,de
1728,Eisingen,Landkreis Würzburg,Bayern,de
1729,Erlabrunn,Landkreis Würzburg,Bayern,de
1730,Estenfeld,Landkreis Würzburg,Bayern,de
1731,Frickenhausen am Main,Landkreis Würzburg,Bayern,de
1732,Gaukönigshofen,Landkreis Würzburg,Bayern,de
1733,Gelchsheim,Landkreis Würzburg,Bayern,de
1734,Gerbrunn,Landkreis Würzburg,Bayern,de
1735,Geroldshausen,Landkreis Würzburg,Bayern,de
1736,Giebelstadt,Landkreis Würzburg,Bayern,de
1737,Greußenheim,Landkreis Würzburg,Bayern,de
1738,Güntersleben,Landkreis Würzburg,Bayern,de
1739,Hausen bei Würzburg,Landkreis Würzburg,Bayern,de
1740,Helmstadt,Landkreis Würzburg,Bayern,de
1741,Hettstadt,Landkreis Würzburg,Bayern,de
1742,Höchberg,Landkreis Würzburg,Bayern,de
1743,Holzkirchen,Landkreis Würzburg,Bayern,de
1744,Kirchheim,Landkreis Würzburg,Bayern,de
1745,Kist,Landkreis Würzburg,Bayern,de
1746,Kleinrinderfeld,Landkreis Würzburg,Bayern,de
1747,Kürnach,Landkreis Würzburg,Bayern,de
1748,Leinach,Landkreis Würzburg,Bayern,de
1749,Margetshöchheim,Landkreis Würzburg,Bayern,de
1750,Neubrunn,Landkreis Würzburg,Bayern,de
1751,Oberpleichfeld,Landkreis Würzburg,Bayern,de
1752,Ochsenfurt,Landkreis Würzburg,Bayern,de
1753,Prosselsheim,Landkreis Würzburg,Bayern,de
1754,Randersacker,Landkreis Würzburg,Bayern,de
1755,Reichenberg,Landkreis Würzburg,Bayern,de
1756,Remlingen,Landkreis Würzburg,Bayern,de
1757,Riedenheim,Landkreis Würzburg,Bayern,de
1758,Rimpar,Landkreis Würzburg,Bayern,de
1759,Röttingen,Landkreis Würzburg,Bayern,de
1760,Rottendorf,Landkreis Würzburg,Bayern,de
1761,Sommerhausen,Landkreis Würzburg,Bayern,de
1762,Sonderhofen,Landkreis Würzburg,Bayern,de
1763,Tauberrettersheim,Landkreis Würzburg,Bayern,de
1764,Theilheim,Landkreis Würzburg,Bayern,de
1765,Thüngersheim,Landkreis Würzburg,Bayern,de
1766,Uettingen,Landkreis Würzburg,Bayern,de
1767,Unterpleichfeld,Landkreis Würzburg,Bayern,de
1768,Veitshöchheim,Landkreis Würzburg,Bayern,de
1769,Waldbrunn,Landkreis Würzburg,Bayern,de
1770,Waldbüttelbrunn,Landkreis Würzburg,Bayern,de
1771,Winterhausen,Landkreis Würzburg,Bayern,de
1772,Zell am Main,Landkreis Würzburg,Bayern,de
1773,Aitrang,Landkreis Ostallgäu,Bayern,de
1774,Baisweil,Landkreis Ostallgäu,Bayern,de
1775,Bidingen,Landkreis Ostallgäu,Bayern,de
1776,Biessenhofen,Landkreis Ostallgäu,Bayern,de
1777,Buchloe,Landkreis Ostallgäu,Bayern,de
1778,Eggenthal,Landkreis Ostallgäu,Bayern,de
1779,Eisenberg,Landkreis Ostallgäu,Bayern,de
1780,Friesenried,Landkreis Ostallgäu,Bayern,de
1781,Füssen,Landkreis Ostallgäu,Bayern,de
1782,Germaringen,Landkreis Ostallgäu,Bayern,de
1783,Görisried,Landkreis Ostallgäu,Bayern,de
1784,Günzach,Landkreis Ostallgäu,Bayern,de
1785,Halblech,Landkreis Ostallgäu,Bayern,de
1786,Hopferau,Landkreis Ostallgäu,Bayern,de
1787,Irsee,Landkreis Ostallgäu,Bayern,de
1788,Jengen,Landkreis Ostallgäu,Bayern,de
1789,Kaltental,Landkreis Ostallgäu,Bayern,de
1790,Kraftisried,Landkreis Ostallgäu,Bayern,de
1791,Lamerdingen,Landkreis Ostallgäu,Bayern,de
1792,Lechbruck,Landkreis Ostallgäu,Bayern,de
1793,Lengenwang,Landkreis Ostallgäu,Bayern,de
1794,Marktoberdorf,Landkreis Ostallgäu,Bayern,de
1795,Mauerstetten,Landkreis Ostallgäu,Bayern,de
1796,Nesselwang,Landkreis Ostallgäu,Bayern,de
1797,Obergünzburg,Landkreis Ostallgäu,Bayern,de
1798,Oberostendorf,Landkreis Ostallgäu,Bayern,de
1799,Osterzell,Landkreis Ostallgäu,Bayern,de
1800,Pforzen,Landkreis Ostallgäu,Bayern,de
1801,Pfronten,Landkreis Ostallgäu,Bayern,de
1802,Rettenbach am Auerberg,Landkreis Ostallgäu,Bayern,de
1803,Rieden,Landkreis Ostallgäu,Bayern,de
1804,Rieden am Forggensee,Landkreis Ostallgäu,Bayern,de
1805,Ronsberg,Landkreis Ostallgäu,Bayern,de
1806,Roßhaupten,Landkreis Ostallgäu,Bayern,de
1807,Ruderatshofen,Landkreis Ostallgäu,Bayern,de
1808,Rückholz,Landkreis Ostallgäu,Bayern,de
1809,Schwangau,Landkreis Ostallgäu,Bayern,de
1810,Seeg,Landkreis Ostallgäu,Bayern,de
1811,Stötten am Auerberg,Landkreis Ostallgäu,Bayern,de
1812,Stöttwang,Landkreis Ostallgäu,Bayern,de
1813,Unterthingau,Landkreis Ostallgäu,Bayern,de
1814,Untrasried,Landkreis Ostallgäu,Bayern,de
1815,Waal,Landkreis Ostallgäu,Bayern,de
1816,Wald,Landkreis Ostallgäu,Bayern,de
1817,Westendorf,Landkreis Ostallgäu,Bayern,de
1818,Aholming,Landkreis Deggendorf,Bayern,de
1819,Auerbach,Landkreis Deggendorf,Bayern,de
1820,Außernzell,Landkreis Deggendorf,Bayern,de
1821,Bernried,Landkreis Deggendorf,Bayern,de
1822,Buchhofen,Landkreis Deggendorf,Bayern,de
1823,Deggendorf,Landkreis Deggendorf,Bayern,de
1824,Grafling,Landkreis Deggendorf,Bayern,de
1825,Grattersdorf,Landkreis Deggendorf,Bayern,de
1826,Hengersberg,Landkreis Deggendorf,Bayern,de
1827,Hunding,Landkreis Deggendorf,Bayern,de
1828,Iggensbach,Landkreis Deggendorf,Bayern,de
1829,Künzing,Landkreis Deggendorf,Bayern,de
1830,Lalling,Landkreis Deggendorf,Bayern,de
1831,Metten,Landkreis Deggendorf,Bayern,de
1832,Moos,Landkreis Deggendorf,Bayern,de
1833,Niederalteich,Landkreis Deggendorf,Bayern,de
1834,Oberpöring,Landkreis Deggendorf,Bayern,de
1835,Offenberg,Landkreis Deggendorf,Bayern,de
1836,Osterhofen,Landkreis Deggendorf,Bayern,de
1837,Otzing,Landkreis Deggendorf,Bayern,de
1838,Plattling,Landkreis Deggendorf,Bayern,de
1839,Schaufling,Landkreis Deggendorf,Bayern,de
1840,Schöllnach,Landkreis Deggendorf,Bayern,de
1841,Stephansposching,Landkreis Deggendorf,Bayern,de
1842,Wallerfing,Landkreis Deggendorf,Bayern,de
1843,Winzer,Landkreis Deggendorf,Bayern,de
1844,Adelshofen,Landkreis Ansbach,Bayern,de
1845,Arberg,Landkreis Ansbach,Bayern,de
1846,Aurach,Landkreis Ansbach,Bayern,de
1847,Bechhofen,Landkreis Ansbach,Bayern,de
1848,Bruckberg,Landkreis Ansbach,Bayern,de
1849,Buch am Wald,Landkreis Ansbach,Bayern,de
1850,Burgoberbach,Landkreis Ansbach,Bayern,de
1851,Burk,Landkreis Ansbach,Bayern,de
1852,Colmberg,Landkreis Ansbach,Bayern,de
1853,Dentlein am Forst,Landkreis Ansbach,Bayern,de
1854,Diebach,Landkreis Ansbach,Bayern,de
1855,Dietenhofen,Landkreis Ansbach,Bayern,de
1856,Dinkelsbühl,Landkreis Ansbach,Bayern,de
1857,Dombühl,Landkreis Ansbach,Bayern,de
1858,Dürrwangen,Landkreis Ansbach,Bayern,de
1859,Ehingen,Landkreis Ansbach,Bayern,de
1860,Feuchtwangen,Landkreis Ansbach,Bayern,de
1861,Flachslanden,Landkreis Ansbach,Bayern,de
1862,Gebsattel,Landkreis Ansbach,Bayern,de
1863,Gerolfingen,Landkreis Ansbach,Bayern,de
1864,Geslau,Landkreis Ansbach,Bayern,de
1865,Heilsbronn,Landkreis Ansbach,Bayern,de
1866,Herrieden,Landkreis Ansbach,Bayern,de
1867,Insingen,Landkreis Ansbach,Bayern,de
1868,Langfurth,Landkreis Ansbach,Bayern,de
1869,Lehrberg,Landkreis Ansbach,Bayern,de
1870,Leutershausen,Landkreis Ansbach,Bayern,de
1871,Lichtenau,Landkreis Ansbach,Bayern,de
1872,Merkendorf,Landkreis Ansbach,Bayern,de
1873,Mitteleschenbach,Landkreis Ansbach,Bayern,de
1874,Mönchsroth,Landkreis Ansbach,Bayern,de
1875,Neuendettelsau,Landkreis Ansbach,Bayern,de
1876,Neusitz,Landkreis Ansbach,Bayern,de
1877,Oberdachstetten,Landkreis Ansbach,Bayern,de
1878,Ohrenbach,Landkreis Ansbach,Bayern,de
1879,Ornbau,Landkreis Ansbach,Bayern,de
1880,Petersaurach,Landkreis Ansbach,Bayern,de
1881,Röckingen,Landkreis Ansbach,Bayern,de
1882,Rothenburg ob der Tauber,Landkreis Ansbach,Bayern,de
1883,Rügland,Landkreis Ansbach,Bayern,de
1884,Sachsen,Landkreis Ansbach,Bayern,de
1885,Schillingsfürst,Landkreis Ansbach,Bayern,de
1886,Schnelldorf,Landkreis Ansbach,Bayern,de
1887,Schopfloch,Landkreis Ansbach,Bayern,de
1888,Steinsfeld,Landkreis Ansbach,Bayern,de
1889,Unterschwaningen,Landkreis Ansbach,Bayern,de
1890,Wassertrüdingen,Landkreis Ansbach,Bayern,de
1891,Weidenbach,Landkreis Ansbach,Bayern,de
1892,Weihenzell,Landkreis Ansbach,Bayern,de
1893,Weiltingen,Landkreis Ansbach,Bayern,de
1894,Wettringen,Landkreis Ansbach,Bayern,de
1895,Wieseth,Landkreis Ansbach,Bayern,de
1896,Wilburgstetten,Landkreis Ansbach,Bayern,de
1897,Windelsbach,Landkreis Ansbach,Bayern,de
1898,Windsbach,Landkreis Ansbach,Bayern,de
1899,Wittelshofen,Landkreis Ansbach,Bayern,de
1900,Wörnitz,Landkreis Ansbach,Bayern,de
1901,Wolframs-Eschenbach,Landkreis Ansbach,Bayern,de
1902,Dingolfing,Landkreis Dingolfing-Landau,Bayern,de
1903,Eichendorf,Landkreis Dingolfing-Landau,Bayern,de
1904,Frontenhausen,Landkreis Dingolfing-Landau,Bayern,de
1905,Gottfrieding,Landkreis Dingolfing-Landau,Bayern,de
1906,Landau an der Isar,Landkreis Dingolfing-Landau,Bayern,de
